parent_url,url,text,link_type,link_description
https://topnepalnews.com/news/41015/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://topnepalnews.com/news/41013/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41013%2F,,social_media,facebook
https://topnepalnews.com/news/41013/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41013%2F,,social_media,linkedin
https://topnepalnews.com/news/41013/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/41013/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?p=105428,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105428,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://onlinemajdoor.com/?p=105415,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105415,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news/41676/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41676%2F,,social_media,facebook
https://topnepalnews.com/news/41676/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41676%2F,,social_media,linkedin
https://topnepalnews.com/news/41676/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/41676/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=6,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=6,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news/41669/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41669%2F,,social_media,facebook
https://topnepalnews.com/news/41669/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41669%2F,,social_media,linkedin
https://topnepalnews.com/news/41669/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/41669/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?p=105412,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105412,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://www.muktinathbank.com.np/general-banking/deposit/saving/sharedhani-bachat-khata,"https://www.muktinathbank.com.np/assets/backend/uploads/STC%20IT%20update%20Ashwin%2001,%202080.pdf",Standard Tariff & Charges ,document,document
https://www.muktinathbank.com.np/general-banking/deposit/saving/sharedhani-bachat-khata,https://www.facebook.com/muktinathbankltd/,"
                  
                ",social_media,facebook
https://www.muktinathbank.com.np/general-banking/deposit/saving/sharedhani-bachat-khata,https://www.instagram.com/muktinathbikasbank/?hl=en,"
                  
                ",social_media,instagram
https://www.muktinathbank.com.np/general-banking/deposit/saving/sharedhani-bachat-khata,https://www.youtube.com/channel/UC5YuxklC2WkRkGikq3qA5jg,"
                  
                ",social_media,youtube
https://www.muktinathbank.com.np/general-banking/deposit/saving/sharedhani-bachat-khata,https://www.tiktok.com/@muktinathbikasbank.ltd?lang=en,"
                        
                    ",social_media,tiktok
https://topnepalnews.com/news/37377/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F37377%2F,,social_media,facebook
https://topnepalnews.com/news/37377/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F37377%2F,,social_media,linkedin
https://topnepalnews.com/news/37377/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/37377/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=16,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=16,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://imeremit.com.np/,https://www.facebook.com/imeremit,,social_media,facebook
https://imeremit.com.np/,https://www.instagram.com/ime_limited_official/,,social_media,instagram
https://onlinemajdoor.com/?p=105391,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105391,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news/41000/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41000%2F,,social_media,facebook
https://topnepalnews.com/news/41000/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41000%2F,,social_media,linkedin
https://topnepalnews.com/news/41000/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/41000/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://imeremit.com.np/send-money-from-kuwait/,https://www.facebook.com/imeremit,,social_media,facebook
https://imeremit.com.np/send-money-from-kuwait/,https://www.instagram.com/ime_limited_official/,,social_media,instagram
https://onlinemajdoor.com/?p=105371,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105371,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://imeremit.com.np/send-money-from-saudi-arabia/,https://www.facebook.com/imeremit,,social_media,facebook
https://imeremit.com.np/send-money-from-saudi-arabia/,https://www.instagram.com/ime_limited_official/,,social_media,instagram
https://topnepalnews.com/news/41663/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41663%2F,,social_media,facebook
https://topnepalnews.com/news/41663/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41663%2F,,social_media,linkedin
https://topnepalnews.com/news/41663/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/41663/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=4,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=4,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news/41643/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41643%2F,,social_media,facebook
https://topnepalnews.com/news/41643/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41643%2F,,social_media,linkedin
https://topnepalnews.com/news/41643/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/41643/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?p=105410,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105410,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news/41690/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41690%2F,,social_media,facebook
https://topnepalnews.com/news/41690/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41690%2F,,social_media,linkedin
https://topnepalnews.com/news/41690/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/41690/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
